Radius	vObs	Verr	Vgas	Vdisk	Vbulge
0.023	0.215	1.912	0.215	0.215	
0.341	47.379	10.197	2.127	43.873	
0.705	68.411	7.967	3.402	64.587	
1.023	78.29	6.055	4.039	75.103	
1.386	82.433	3.824	4.995	84.982	
1.795	91.355	4.143	5.633	98.366	
2.113	99.322	4.143	5.314	105.377	
2.431	101.234	3.187	4.995	104.74	
2.794	103.146	2.231	5.951	103.146	
3.158	106.333	1.912	10.731	105.696	
3.839	115.256	1.912	18.061	109.201	
4.566	123.223	1.912	24.116	107.608	
5.248	127.365	1.912	26.028	102.19	
5.975	127.365	1.594	27.94	99.004	
6.656	127.365	1.912	28.258	97.41	
7.383	127.365	1.912	30.808	95.18	
8.064	128.321	1.913	32.401	91.674	
8.791	128.321	1.594	35.269	87.213	
9.473	128.321	1.913	36.862	85.301	
10.2	129.277	1.913	38.137	83.07	
10.881	131.19	2.23	40.049	81.158	
11.608	133.102	2.23	41.005	78.927	
12.335	136.288	1.912	41.324	76.059	
13.016	136.288	1.912	42.28	73.191	
13.698	134.058	2.23	41.643	70.96	
14.379	134.376	1.912	41.005	69.048	
15.106	134.376	1.912	40.687	67.136	
15.788	135.332	1.912	40.049	65.224	
16.515	133.42	1.912	39.412	63.312	
17.196	132.146	2.23	38.137	62.038	
17.923	136.288	1.912	37.5	60.126	
18.605	133.102	3.186	36.225	58.851	
19.286	134.376	3.824	35.588	57.895	
